GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,com.increff.pos.dao,AbstractDao,0,19,0,0,0,4,0,4,0,4
pos,com.increff.pos.dao,ProductDao,29,54,0,0,4,14,1,6,1,6
pos,com.increff.pos.dao,BrandDao,6,57,0,0,2,14,1,6,1,6
pos,com.increff.pos.dao,OrderHistoryDao,31,8,0,0,7,3,3,2,3,2
pos,com.increff.pos.dao,InventoryDao,45,43,0,0,15,13,3,5,3,5
pos,com.increff.pos.dao,OrderItemDao,27,8,0,0,7,3,3,2,3,2
pos,com.increff.pos.dto,ReportDto,15,3,0,0,3,1,1,1,1,1
pos,com.increff.pos.dto,BrandDto,124,3,6,0,30,1,11,1,8,1
pos,com.increff.pos.dto,ProductDto,127,3,10,0,30,1,12,1,7,1
pos,com.increff.pos.dto,OrderDto,100,3,10,0,23,1,10,1,5,1
pos,com.increff.pos.dto,InventoryDto,76,3,6,0,19,1,9,1,6,1
pos,com.increff.pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos,com.increff.pos.service,BrandService,51,47,4,4,11,12,4,7,2,5
pos,com.increff.pos.service,ProductService,135,30,8,2,29,10,10,4,5,4
pos,com.increff.pos.service,InventoryService,52,178,9,13,12,43,8,12,1,8
pos,com.increff.pos.service,ReportService,237,3,26,0,45,1,17,1,4,1
pos,com.increff.pos.service,OrderService,186,3,14,0,45,1,13,1,6,1
pos,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
pos,com.increff.pos.model,InventoryData,6,25,0,0,2,11,2,7,2,7
pos,com.increff.pos.model,InfoData,13,0,0,0,6,0,3,0,3,0
pos,com.increff.pos.model,InvoiceModel,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.model,InventoryForm,17,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.model,ProductForm,38,0,0,0,16,0,11,0,11,0
pos,com.increff.pos.model,ProductData,45,0,0,0,19,0,13,0,13,0
pos,com.increff.pos.model,FilterForm,59,0,8,0,22,0,13,0,9,0
pos,com.increff.pos.model,OrderData,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.model,BrandForm,17,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.model,OrderInvoiceXmlList,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.model,OrderForm,17,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.model,SalesData,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.model,BrandData,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.model,OrderHistoryData,17,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.controller,ReportApiController,5,3,0,0,1,1,1,1,1,1
pos,com.increff.pos.controller,SiteUIController,44,3,0,0,10,1,7,1,7,1
pos,com.increff.pos.controller,PdfApiController,139,3,4,0,32,1,6,1,4,1
pos,com.increff.pos.controller,InventoryApiController,23,3,0,0,6,1,4,1,4,1
pos,com.increff.pos.controller,OrderApiController,14,3,0,0,4,1,3,1,3,1
pos,com.increff.pos.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
pos,com.increff.pos.controller,ProductApiController,24,3,0,0,6,1,4,1,4,1
pos,com.increff.pos.controller,BrandApiController,24,3,0,0,6,1,4,1,4,1
pos,com.increff.pos.util,StringUtil,35,0,10,0,9,0,10,0,5,0
pos,com.increff.pos.util,NormalizeAndConvert,3,0,0,0,1,0,1,0,1,0
pos,com.increff.pos.util,PDFConversion,69,0,0,0,18,0,3,0,3,0
pos,com.increff.pos.pojo,ProductPojo,10,28,0,0,4,12,3,8,3,8
pos,com.increff.pos.pojo,BrandDetailPojo,5,20,0,0,2,8,1,6,1,6
pos,com.increff.pos.pojo,OrderHistoryPojo,14,3,0,0,6,1,4,1,4,1
pos,com.increff.pos.pojo,InventoryPojo,0,17,0,0,0,7,0,5,0,5
pos,com.increff.pos.pojo,OrderItemPojo,35,3,0,0,15,1,10,1,10,1
pos,com.increff.pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
pos,com.increff.pos.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
pos,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
